S.No,State,College Name,University,Management,Estb,Seats
6,Tamil Nadu,"Government Dharmapuri Medical College, Dharmapuri","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2008,100
7,Tamil Nadu,"Government Medical College,Dindigul","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,150
8,Tamil Nadu,"Government Medical College & ESIC Hospital, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Central Govt.,2016,100
9,Tamil Nadu,Government Medical College Kallakurichi,"The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,100
10,Tamil Nadu,"Government Medical College, Karur","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2019,150
11,Tamil Nadu,Government Medical College Krishnagiri,"The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,150
12,Tamil Nadu,Government Medical College Nagapattinam,"The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,150
13,Tamil Nadu,"Government Medical College, Namakkal","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,100
14,Tamil Nadu,"Government Medical College, The Nilgiris","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,100
15,Tamil Nadu,"Government Medical College, Omandurar","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2015,100
16,Tamil Nadu,"Government Medical College, Pudukottai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2017,150
17,Tamil Nadu,Government Medical College Ramanathapuram,"The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,100
18,Tamil Nadu,"Government Sivagangai Medical College, Sivaganga","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2012,100
19,Tamil Nadu,"Government Medical College, Thiruvallu","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,100
20,Tamil Nadu,"Government Medical College ,Tiruppur","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,100
21,Tamil Nadu,"Government Thiruvannamalai Medical College, Thiruvannamalai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2013,100
22,Tamil Nadu,"Government Vellore Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2005,100
23,Tamil Nadu,"Government Medical College, Virudhunagar","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2021,150
24,Tamil Nadu,"Government Villupuram Medical College, Villupuram","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2010,100
25,Tamil Nadu,"Government Erode Medical College & Hospital, IRT Perundurai Medical College, Perundurai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1992,100
26,Tamil Nadu,"K A P Viswanathan Government Medical College, Trichy","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1998,150
27,Tamil Nadu,"KanyaKumari Government Medical College, Asaripallam","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2003,150
28,Tamil Nadu,"Kilpauk Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1960,150
29,Tamil Nadu,"Madras Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1835,250
30,Tamil Nadu,"Madurai Medical College, Madurai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1954,250
31,Tamil Nadu,"Mohan Kumaramangalam Medical College, Salem","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1986,100
32,Tamil Nadu,"Rajah Muthiah Medical College, Annamalainagar",Annamalai University,State Govt.,1985,150
33,Tamil Nadu,"Stanley Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1838,250
34,Tamil Nadu,"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1959,150
35,Tamil Nadu,"Theni Government Medical College,Theni","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2006,100
36,Tamil Nadu,"Thiruvarur Govt. Medical College, Thiruvarur","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2010,100
37,Tamil Nadu,"Thoothukudi Medical College, Thoothukudi","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2000,150
38,Tamil Nadu,"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,1965,250
39,Tamil Nadu,"Annaii Medical College and Hospital, Kancheepuram Distt","The Tamilnadu Dr. MGR Medical University,Chennai",State Govt.,2024,100
1,Telangana,"All India Institute of Medical Sciences, Bibinagar","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2019,100
2,Telangana,"Employees State Insurance Coporation Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Central Govt.,2016,150
3,Telangana,"Government Medical College, Jagtial","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
4,Telangana,"Government Medical College, Jayashankar Bhupalpally","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
5,Telangana,Government Medical College Jangaon,"Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
6,Telangana,"Government Medical College, Kamareddy","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
7,Telangana,"Government Medical College, Karimnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
8,Telangana,"Government Medical College, Khammam","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
9,Telangana,"Government Medical College, Bhadradri Kothagudem","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
10,Telangana,"Government Medical College, Kumuram Bheem Asifabad","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
11,Telangana,"Government Medical College, Mahabubabad","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
12,Telangana,"Government Medical College, Mancherial","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,100
13,Telangana,"Government Medical College, Nagarkurnool","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
14,Telangana,"Government Medical College, Sangareddy","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
15,Telangana,"Government Medical College, Vikarabad","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
16,Telangana,"Government Medical College, Wanaparthy","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
17,Telangana,"Gandhi Medical College, Secunderabad","NTR University of Health Sciences, VijayWada",State Govt.,1954,250
18,Telangana,"Government Medical College, Mahabubnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2016,175
19,Telangana,"Government Medical College, Nalgonda","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2019,150
20,Telangana,"Government Medical College, Nirmal","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
21,Telangana,"Government Medical College, Nizamabad","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2013,120
22,Telangana,"Government Medical College, Ramagundam","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2022,150
23,Telangana,"Government Medical College, Rajanna Sircilla","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2023,100
24,Telangana,"Government Medical College, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2018,175
25,Telangana,"Government Medical College, Suryapet","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2019,150
26,Telangana,"Kakatiya Medical College, Wrangal","NTR University of Health Sciences, VijayWada",State Govt.,1959,250
27,Telangana,"Osmania Medical College, Hyderabad","NTR University of Health Sciences, VijayWada",State Govt.,1946,250
28,Telangana,"Rajiv Gandhi Institute of Medical Sciences, adilabad","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2008,120
29,Telangana,"Government Medical College, Maheshwaram","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
30,Telangana,"Government Medical College, Medak","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
31,Telangana,"Government Medical College, Yadadri","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
32,Telangana,"Government medical College, Quthbullapur","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
33,Telangana,"Government Medical College, Mulugu","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
34,Telangana,"Government Medical College, Jogulamba,m Gadwal","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
35,Telangana,"Government Medical College, Narsampet","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
36,Telangana,"Government Medical College, Narayanpet","Kaloji Narayana Rao University of Health Sciences, Warangal",State Govt.,2024,50
